Size_of_ROIs,Mean_Value,St_Deviation,Skewness,Gradient_Mean_value,Gradient_Variance,Percentage_non_zero_Gradients,Contrast,Correlation,Entropy,Homogenity,Run_Percentage,Long_run_Emphasis,Gray_Value_Distribution,Yearly_Production
19866,109.7466526,99.56917967,0.279035522,139.7354023,12061.80288,0.868821101,39.75885544,0.00010069,3.692934349,0.202691702,0.500503373,1.974554963,3121.408327,4857.443327
20145,106.4640854,99.6444225,0.375986692,137.754665,11903.20816,0.867858029,35.34378579,0.000100539,3.76955986,0.203163037,0.501166543,1.9659271,3164.933043,4932.51149
19882,107.5445126,99.66200692,0.339847689,137.1263322,11849.32594,0.867870436,33.5719945,0.000100512,3.768156427,0.203261006,0.499748516,1.967693237,3109.321659,4868.397544
20365,110.9746624,99.80540655,0.243213082,139.755593,12039.12807,0.867959735,41.2741475,0.000100148,3.718671481,0.203380859,0.501104837,1.969720725,3206.095933,4988.514552
19862,110.7123653,99.73570172,0.249106413,139.6332229,12066.97795,0.867636693,40.19464128,0.000100353,3.705490111,0.203126894,0.50115799,1.971368294,3116.349608,4872.596544
19929,110.0906217,99.87952506,0.269374089,138.2124805,11843.30135,0.866676702,47.89666207,1.00E-04,3.764348605,0.20314578,0.499924733,1.96637559,3134.312255,4886.675399
20141,109.7207686,99.87834298,0.27722343,138.3487086,11891.43272,0.868924085,47.58692818,0.000100009,3.790691652,0.203139371,0.500918524,1.951729607,3152.899494,4954.584894
19640,104.039053,100.3755698,0.418059857,138.790835,12220.26659,0.868482688,43.42257703,9.90E-05,3.754326838,0.203773669,0.500356415,1.949323293,3075.506767,4820.322479
20165,100.9191173,100.3164871,0.516536926,138.8036483,12257.24983,0.867691545,41.72538126,9.92E-05,3.796397089,0.203703977,0.500719068,1.954838071,3174.236803,4948.853422
19956,109.3593907,100.028659,0.287824763,138.548385,11914.99313,0.868009621,32.51457059,9.98E-05,3.772836262,0.203502146,0.499448787,1.988662587,3127,4878.462827
20412,108.5020086,99.89971379,0.309920994,138.1335783,11876.27935,0.86909661,46.81792265,1.00E-04,3.821964691,0.203364594,0.499167157,1.981450584,3183.059868,4988.30474
19629,114.8538387,100.5891838,0.123651434,141.576575,12122.41777,0.867491976,33.93205897,9.87E-05,3.708196574,0.203454731,0.500076418,1.97891198,3062.974939,4816.976365
20377,114.7977131,100.7092809,0.127373598,141.5985144,12134.50268,0.868920842,40.67422569,9.84E-05,3.758371193,0.203552413,0.500613437,1.974022155,3194.86021,5006.566121
20351,105.864331,99.84484928,0.391820069,136.342757,11884.13071,0.869195617,48.57063458,0.000100062,3.813857477,0.203189556,0.501203872,1.964901961,3198.792549,4982.046667
20149,103.9729019,99.62629428,0.446101765,136.3180163,11871.57954,0.869621321,46.62191944,0.000100562,3.820922458,0.202817524,0.49908184,1.976531424,3155.248807,4927.000994
19857,106.8913733,99.47330644,0.363853279,139.284905,12027.00235,0.868258045,50.89998339,0.000100815,3.749237982,0.203734806,0.49972302,1.973294367,3126.033962,4865.682656
19886,106.7155285,99.43530015,0.368660456,139.0064704,12048.53303,0.868249019,44.2710084,0.000100894,3.754415175,0.203451427,0.50045258,1.974879421,3120.931873,4856.186294
20260,108.0300099,100.0480061,0.327967835,137.0502947,11894.04051,0.868213228,48.74577098,9.96E-05,3.832820082,0.203236049,0.500345508,1.963302752,3178.086317,4984.859919
19144,107.8247493,100.1266724,0.332250794,137.0417543,11897.71026,0.86857501,47.44406077,9.95E-05,3.823370056,0.203188082,0.500574593,1.962224773,2999.81415,4694.455285
20217,113.4416085,100.3793358,0.170821309,140.4816762,12147.27474,0.868130781,38.31435092,9.91E-05,3.751685136,0.203084489,0.500272048,1.972513348,3174.765078,4948.465098
20099,112.7801881,100.0716667,0.188872745,140.6917166,12130.22679,0.86929698,48.15026785,9.96E-05,3.744022348,0.202383517,0.499228817,1.986246761,3152.400837,4908.000399
21157,106.3801106,99.27373278,0.378908006,136.3951977,11861.62073,0.869546722,49.74352332,0.000101237,3.747023256,0.203292491,0.499031054,1.975752984,3318.781777,5186.850161
19476,105.7266893,99.24005107,0.397498245,136.3369871,11859.79166,0.869018279,48.68576271,0.000101286,3.713640128,0.203689438,0.499178476,1.981279572,3053.262086,4764.963176
20324,110.4722004,99.82136663,0.259288174,139.871748,12055.86356,0.869169455,49.89323729,0.000100084,3.740556673,0.203436425,0.500738044,1.975238282,3201.358848,4991.489732
19369,112.028241,100.0289729,0.209107781,140.6447105,12121.05363,0.867675151,48.35027574,9.98E-05,3.70946052,0.20322245,0.500800248,1.945051546,3037.907423,4766.965155
20436,113.2210804,100.7426359,0.170309048,140.9721501,12015.29536,0.870767273,47.29590027,9.83E-05,3.81268775,0.203954371,0.499070268,1.989606824,3188.725659,4989.483381
20323,113.4793092,100.9730681,0.171505308,140.2457398,12023.95852,0.867096393,36.99789246,9.79E-05,3.795329574,0.203812595,0.501549968,1.955459629,3200.564015,5007.306485
19831,114.2753769,100.6312204,0.148303967,141.1945748,12184.89491,0.867631486,45.60860644,9.85E-05,3.772903309,0.203367638,0.500832031,1.970600081,3123.230769,4869.710834
20193,114.7964641,100.8206397,0.129427562,141.1800565,12169.83631,0.868865448,47.62108929,9.81E-05,3.780854579,0.203455049,0.50022285,1.957924958,3161.642709,4961.011088
